plate_barcode, layout_type, well_row, well_column, xk_sample_id, concentration, concentration_units, volume, volume_units, solvent
plate_0000107,c31d6,a,1,,,,,,
plate_0000107,c31d6,a,2,,,,,,
plate_0000107,c31d6,a,3,,,,,,
plate_0000107,c31d6,a,4,,,,,,
plate_0000107,c31d6,a,5,,,,,,
plate_0000107,c31d6,a,6,,,,,,
plate_0000107,c31d6,a,7,,,,,,
plate_0000107,c31d6,a,8,,,,,,
plate_0000107,c31d6,a,9,,,,,,
plate_0000107,c31d6,a,10,,,,,,
plate_0000107,c31d6,a,11,,,,,,
plate_0000107,c31d6,a,12,,,,,,
plate_0000107,c31d6,a,13,,,,,,
plate_0000107,c31d6,a,14,,,,,,
plate_0000107,c31d6,a,15,,,,,,
plate_0000107,c31d6,a,16,,,,,,
plate_0000107,c31d6,a,17,,,,,,
plate_0000107,c31d6,a,18,,,,,,
plate_0000107,c31d6,a,19,,,,,,
plate_0000107,c31d6,a,20,,,,,,
plate_0000107,c31d6,a,21,,,,,,
plate_0000107,c31d6,a,22,,,,,,
plate_0000107,c31d6,a,23,,,,,,
plate_0000107,c31d6,a,24,,,,,,
plate_0000107,c31d6,b,1,,,,,,
plate_0000107,c31d6,b,2,,,,,,
plate_0000107,c31d6,b,3,,,,,,
plate_0000107,c31d6,b,4,,,,,,
plate_0000107,c31d6,b,5,,,,,,
plate_0000107,c31d6,b,6,,,,,,
plate_0000107,c31d6,b,7,,,,,,
plate_0000107,c31d6,b,8,,,,,,
plate_0000107,c31d6,b,9,,,,,,
plate_0000107,c31d6,b,10,,,,,,
plate_0000107,c31d6,b,11,,,,,,
plate_0000107,c31d6,b,12,,,,,,
plate_0000107,c31d6,b,13,,,,,,
plate_0000107,c31d6,b,14,,,,,,
plate_0000107,c31d6,b,15,,,,,,
plate_0000107,c31d6,b,16,,,,,,
plate_0000107,c31d6,b,17,,,,,,
plate_0000107,c31d6,b,18,,,,,,
plate_0000107,c31d6,b,19,,,,,,
plate_0000107,c31d6,b,20,,,,,,
plate_0000107,c31d6,b,21,,,,,,
plate_0000107,c31d6,b,22,,,,,,
plate_0000107,c31d6,b,23,,,,,,
plate_0000107,c31d6,b,24,,,,,,
plate_0000107,c31d6,c,1,,,,20,uL,dmso
plate_0000107,c31d6,c,2,,,,20,uL,dmso
plate_0000107,c31d6,c,3,,,,20,uL,dmso
plate_0000107,c31d6,c,4,,,,20,uL,dmso
plate_0000107,c31d6,c,5,,,,20,uL,dmso
plate_0000107,c31d6,c,6,,,,20,uL,dmso
plate_0000107,c31d6,c,7,,,,20,uL,dmso
plate_0000107,c31d6,c,8,,,,20,uL,dmso
plate_0000107,c31d6,c,9,,,,20,uL,dmso
plate_0000107,c31d6,c,10,,,,20,uL,dmso
plate_0000107,c31d6,c,11,,,,20,uL,dmso
plate_0000107,c31d6,c,12,,,,20,uL,dmso
plate_0000107,c31d6,c,13,,,,20,uL,dmso
plate_0000107,c31d6,c,14,,,,20,uL,dmso
plate_0000107,c31d6,c,15,XK00000397-001,0.5,mM,14,uL,dmso
plate_0000107,c31d6,c,16,,,,20,uL,dmso
plate_0000107,c31d6,c,17,,,,20,uL,dmso
plate_0000107,c31d6,c,18,,,,20,uL,dmso
plate_0000107,c31d6,c,19,,,,20,uL,dmso
plate_0000107,c31d6,c,20,,,,20,uL,dmso
plate_0000107,c31d6,c,21,,,,20,uL,dmso
plate_0000107,c31d6,c,22,,,,20,uL,dmso
plate_0000107,c31d6,c,23,,,,20,uL,dmso
plate_0000107,c31d6,c,24,,,,,,
plate_0000107,c31d6,d,1,,,,,,
plate_0000107,c31d6,d,2,,,,,,
plate_0000107,c31d6,d,3,XK00001375-001,50, mM,20, uL, dmso
plate_0000107,c31d6,d,4,XK00001375-001,16.67, mM,20, uL, dmso
plate_0000107,c31d6,d,5,XK00001375-001,5.56, mM,20, uL, dmso
plate_0000107,c31d6,d,6,XK00001375-001,1.85, mM,20, uL, dmso
plate_0000107,c31d6,d,7,XK00001375-001,0.617, mM,20, uL, dmso
plate_0000107,c31d6,d,8,XK00001375-001,0.206, mM,20, uL, dmso
plate_0000107,c31d6,d,9,XK00001385-001,50, mM,20, uL, dmso
plate_0000107,c31d6,d,10,XK00001385-001,16.67, mM,20, uL, dmso
plate_0000107,c31d6,d,11,XK00001385-001,5.56, mM,20, uL, dmso
plate_0000107,c31d6,d,12,XK00001385-001,1.85, mM,20, uL, dmso
plate_0000107,c31d6,d,13,XK00001385-001,0.617, mM,20, uL, dmso
plate_0000107,c31d6,d,14,XK00001385-001,0.206, mM,20, uL, dmso
plate_0000107,c31d6,d,15,XK00001395-001,50, mM,20, uL, dmso
plate_0000107,c31d6,d,16,XK00001395-001,16.67, mM,20, uL, dmso
plate_0000107,c31d6,d,17,XK00001395-001,5.56, mM,20, uL, dmso
plate_0000107,c31d6,d,18,XK00001395-001,1.85, mM,20, uL, dmso
